code,name,year,month,year_month,up_count
000622,恒立退,2025,2,2025-02,4
000622,恒立退,2023,4,2023-04,1
000622,恒立退,2024,4,2024-04,3
000622,恒立退,2025,4,2025-04,2
000628,高新发展,2023,1,2023-01,1
000628,高新发展,2024,1,2024-01,3
000628,高新发展,2025,1,2025-01,2
000628,高新发展,2023,5,2023-05,1
000628,高新发展,2024,5,2024-05,4
000628,高新发展,2025,5,2025-05,1
000628,高新发展,2023,10,2023-10,9
000628,高新发展,2024,10,2024-10,6
000628,高新发展,2025,10,2025-10,1
000628,高新发展,2023,12,2023-12,2
000628,高新发展,2024,12,2024-12,1
000628,高新发展,2025,12,2025-12,1
000630,铜陵有色,2023,12,2023-12,1
000630,铜陵有色,2024,12,2024-12,1
000630,铜陵有色,2025,12,2025-12,2
000632,三木集团,2023,11,2023-11,1
000632,三木集团,2024,11,2024-11,1
000632,三木集团,2025,11,2025-11,10
000633,合金投资,2023,6,2023-06,1
000633,合金投资,2024,6,2024-06,1
000633,合金投资,2025,6,2025-06,1
000633,合金投资,2023,11,2023-11,2
000633,合金投资,2024,11,2024-11,1
000633,合金投资,2025,11,2025-11,4
000638,*ST万方,2023,9,2023-09,1
000638,*ST万方,2024,9,2024-09,2
000638,*ST万方,2025,9,2025-09,1
000638,*ST万方,2023,10,2023-10,1
000638,*ST万方,2024,10,2024-10,3
000638,*ST万方,2025,10,2025-10,7
000650,仁和药业,2023,9,2023-09,1
000650,仁和药业,2024,9,2024-09,1
000650,仁和药业,2025,9,2025-09,1
000656,*ST金科,2023,5,2023-05,2
000656,*ST金科,2024,5,2024-05,4
000656,*ST金科,2025,5,2025-05,3
000656,*ST金科,2023,11,2023-11,2
000656,*ST金科,2024,11,2024-11,5
000656,*ST金科,2025,11,2025-11,1
000657,中钨高新,2023,9,2023-09,1
000657,中钨高新,2024,9,2024-09,3
000657,中钨高新,2025,9,2025-09,1
000657,中钨高新,2023,11,2023-11,1
000657,中钨高新,2024,11,2024-11,4
000657,中钨高新,2025,11,2025-11,1
000659,珠海中富,2023,11,2023-11,1
000659,珠海中富,2024,11,2024-11,3
